Time,Species,Replicate,logMFI
3.5,C. glabrata,3,NA
3.5,C. glabrata,4,NA
3.5,S. cerevisiae,5,2.103347529
3.5,S. cerevisiae,6,2.13316879
3.5,S. cerevisiae,7,2.123109788
3.5,K. lactis,8,1.810736437
3.5,K. lactis,9,NA
3.5,K. lactis,10,NA
3.5,K. lactis,11,1.628660356
3.5,K. lactis,12,1.635902821
3.5,K. lactis,13,1.634345818
3.5,C. albicans,14,NA
3.5,C. albicans,15,NA
3.5,C. albicans,16,0.7536612844
3.5,C. albicans,17,0.8794413069
3.5,C. albicans,18,0.8874880813
4,C. glabrata,2,1.185529278
4,C. glabrata,3,1.225530508
4,C. glabrata,4,1.227664008
4,S. cerevisiae,5,2.121111979
4,S. cerevisiae,6,2.120152432
4,S. cerevisiae,7,2.123230175
4,K. lactis,8,1.835452754
4,K. lactis,9,1.415527932
4,K. lactis,10,1.397368192
4,K. lactis,11,1.604309549
4,K. lactis,12,1.58361238
4,K. lactis,13,1.616909112
4,C. albicans,14,1.073886396
4,C. albicans,15,1.054567441
4,C. albicans,16,0.7851437728
4,C. albicans,17,0.86469493
4,C. albicans,18,0.8736274127
5,C. glabrata,2,1.357028302
5,C. glabrata,3,1.24965079
5,C. glabrata,4,1.2665779130000001
5,S. cerevisiae,5,2.202587381
5,S. cerevisiae,6,2.216326853
5,S. cerevisiae,7,2.217225503
5,K. lactis,8,1.847109741
5,K. lactis,9,1.402818161
5,K. lactis,10,1.409944241
5,K. lactis,11,NA
5,K. lactis,12,NA
5,K. lactis,13,NA
5,C. albicans,14,1.109435844
5,C. albicans,15,1.104091521
5,C. albicans,16,NA
5,C. albicans,17,NA
5,C. albicans,18,NA
6,C. glabrata,2,1.295168457
6,C. glabrata,3,1.265806002
6,C. glabrata,4,1.264006038
6,S. cerevisiae,5,2.223928376
6,S. cerevisiae,6,2.246474561
6,S. cerevisiae,7,2.247792593
6,K. lactis,8,1.858612381
6,K. lactis,9,1.402132794
6,K. lactis,10,1.417438913
6,K. lactis,11,1.550316994
6,K. lactis,12,1.547523909
6,K. lactis,13,1.522437933
6,C. albicans,14,1.159252192
6,C. albicans,15,1.134573707
6,C. albicans,16,0.7859888684
6,C. albicans,17,0.9137519032
6,C. albicans,18,0.9331917192
7,C. glabrata,2,1.293665191
7,C. glabrata,3,NA
7,C. glabrata,4,NA
7,S. cerevisiae,5,2.264302544
7,S. cerevisiae,6,2.288946835
7,S. cerevisiae,7,2.291562234
7,K. lactis,8,1.887687614
7,K. lactis,9,NA
7,K. lactis,10,NA
7,K. lactis,11,1.549607362
7,K. lactis,12,1.544714447
7,K. lactis,13,1.529003593
7,C. albicans,14,NA
7,C. albicans,15,NA
7,C. albicans,16,0.7987998625
7,C. albicans,17,0.9279973386
7,C. albicans,18,0.9435686662
